"","nameGiven","yearID","adjusted_salary","teamID","bats","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","Rank","W","L","rank_delta","batting_Average","homerun_Average"
"146","Brian Jay",1986,1746498.53908152,"CAL","R",152,513,90,137,27,4,20,95,4,4,90,84,2,17,3,8,14,1,92,70,0,0.267056530214425,0.0389863547758285
"147","Kelly Robert",1986,129637.058421333,"SFN","R",15,29,1,5,0,0,0,0,0,1,1,13,0,0,0,0,0,3,83,79,0,0.172413793103448,0
"148","David Francis",1986,756216.17412444,"SDN","R",35,50,3,7,0,0,1,7,1,0,1,16,0,0,6,0,1,4,74,88,1,0.14,0.02
"149","Daniel",1986,1512432.34824888,"SFN","L",15,16,2,3,2,0,0,0,0,0,4,4,1,0,0,0,0,3,83,79,0,0.1875,0
"150","Daniel",1986,1512432.34824888,"HOU","L",17,24,5,7,1,0,1,3,0,0,5,2,1,0,0,0,0,1,96,66,0,0.291666666666667,0.0416666666666667
"151","Mariano",1986,324092.646053331,"LAN","R",109,407,47,93,7,0,8,30,48,13,30,78,1,2,5,1,6,5,73,89,1,0.228501228501229,0.0196560196560197
"152","Shawon Donnell",1986,216061.764035554,"CHN","R",150,581,66,145,37,3,17,68,13,11,21,114,5,3,4,2,5,5,70,90,1,0.249569707401033,0.0292598967297762
"153","Leon",1986,2124606.62614374,"CHN","L",141,484,66,127,18,7,20,65,8,7,67,98,16,1,0,5,6,5,70,90,1,0.262396694214876,0.0413223140495868
"154","James Edward",1986,864247.056142217,"BAL","L",94,160,18,39,13,1,8,31,0,2,23,31,1,2,0,4,2,7,73,89,1,0.24375,0.05
"155","Leonard Kyle",1986,199857.131732888,"NYN","L",147,431,77,127,27,7,8,45,31,7,58,55,1,0,7,2,4,1,108,54,0,0.294663573085847,0.0185614849187935
"156","James Morris",1986,756216.17412444,"CLE","L",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,84,78,0,0,0
"157","Dennis Lee",1986,1692483.09807263,"CHN","R",33,69,7,11,3,0,2,10,0,0,1,34,0,0,2,1,0,5,70,90,1,0.159420289855072,0.0289855072463768
"158","Mark Anthony",1986,159885.70538631,"TOR","R",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,86,76,1,0,0
"159","Kevin Daniel",1986,129637.058421333,"NYN","R",19,30,3,5,1,0,0,0,0,0,3,8,1,0,0,0,0,1,108,54,0,0.166666666666667,0
"160","Alvaro Alberto",1986,129637.058421333,"MIN","R",37,42,4,9,1,0,0,1,0,1,1,10,0,0,2,0,0,6,71,91,1,0.214285714285714,0
"161","Dwight Michael",1986,2198983.72779534,"BOS","R",152,529,86,137,33,2,26,97,3,3,97,117,4,6,2,6,11,1,95,66,0,0.258979206049149,0.0491493383742911
"162","Steven Michael",1986,183652.499430221,"KCA","R",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,76,86,1,0,0
"163","Charles Sidney",1986,432123.528071108,"NYN","L",32,68,6,11,3,0,0,4,1,0,3,23,0,0,6,0,2,1,108,54,0,0.161764705882353,0
"164","Octavio Antonio",1986,594169.851097774,"TOR","B",163,687,91,213,33,9,10,65,25,12,27,52,0,4,5,4,8,4,86,76,1,0.310043668122271,0.0145560407569141
"165","Charles Edward",1986,129637.058421333,"CAL","L",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92,70,0,0,0
"166","Stephen John",1986,138279.528982755,"SEA","B",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,67,95,1,0,0
"167","Carlton Ernest",1986,1890540.4353111,"CHA","R",125,457,42,101,11,0,14,63,2,4,22,92,2,6,0,6,10,5,72,90,1,0.221006564551422,0.0306345733041575
"168","Michael Roy",1986,317610.793132265,"MON","R",73,209,20,59,13,1,6,37,3,2,27,34,6,1,4,2,4,4,78,83,1,0.282296650717703,0.0287081339712919
